name,identifier,top_match,top_ent_num,score
INSIGHTBLOCK LTD,25490087INY5STTHS614,LIMITED LIABILITY COMPANY PRODUCTION ASSOCIATION INSISTENCE,47400,32.72727272727273
THE RISE FUND IV SF PTE. LTD.,25490094UY7XID4Z3L10,PALESTINE RELIEF FUND,7917,61.111111111111114
"PORTOLA MIDWAY, LLC",254900Z2V5KM1V32TX08,CUCINA DEL PORTO S.A. DE C.V.,56319,55.172413793103445
ENVIRONMENTAL RESILIENT COMMUNITIES LLC,2549005YH0JCY4Z9XK13,JOINT STOCK COMPANY BUSINESS ENVIRONMENT,36416,59.70149253731343
PW JACKSONVILLE LLC,254900249CZ6CAD4CF23,,,0.0
KKR ULYSSES AGGREGATOR GP LLC,254900SH4KIF9HEEXQ47,VOSKRESENSKIY AGGREGATE PLANT,47718,54.90196078431373
"ANGELO'S PAWN SHOP II, INC.",2549005QQYRSFARREG19,ASIAN SEA ANGEL SHIPPING CO,54458,66.66666666666667
"431 Wilshire Blvd SM, LLC",2549006YJFY1TUC8TS16,,,0.0
PLATINUM AND GOLD JEWELRY & LOAN,254900W345TYF4IIS047,AL SULTAN GOLD & JEWELRY,27973,71.11111111111111
200 WADSWORTH APARTMENTS LLC,254900F3C6XBN9ZE3Z52,SWEET APARTMENTS,26468,70.0
P51 fjárfestingar og ráðgjöf ehf.,636700VHN8WOE305AK19,,,0.0
GALTØS INVEST AS,984500KAA13856M37231,LLC A INVEST,46053,76.19047619047619
"RISE ON MERIDIAN, LLC",254900Q0U92XR6J0CX63,RPF MERIDIAN JSC,48555,71.42857142857143
KITCHENOUTLET.NO AS,636700TNTCQSKUUNR108,BAKE AND KITCHEN,21666,50.0
EPHESUS NEW ALBANY OWNER LLC,2549005F3QQAUB7ACH66,RIHS-ALBANIA,10923,44.44444444444444
ARED Lender 2 S.à r.l.,2549006I9U1P5TKBGH06,SERGIEVO-POSAD LEND LLC,34677,35.89743589743589
ARED Lender I S.à r.l.,254900KZLK9AVDGS3V20,OOO LENDING TECHNOLOGIES,34617,40.0
Heppell's Potato Corp.,2549009AHC5FF4NAOM78,MEKONG POTABLE WATER CONSTRUCTION IMPORT EXPORT CO LTD,57203,31.746031746031743
Alezunder Holding Zártkörűen Működő Részvénytársaság,984500D3DF063DCC3788,CYTROX HOLDINGS ZARTKORUEN MUKODO RESZVENYTARSASAG,48069,86.27450980392157
KKR ULYSSES AGGREGATOR L.P.,254900S4B3GINBNU7T58,VOSKRESENSKIY AGGREGATE PLANT,47718,54.90196078431373
WELLINGTON WEALTH COMPANY LLC,984500E1CDB7B1D69422,WEALTHING HOLDING PTE LTD,42860,52.94117647058824
Madsen Investments ApS,254900Z1WHKK5T6AZQ35,MARS INVESTMENT L.L.C,56379,84.84848484848484
Den faglige forening Håndværk og Design,254900E5L4K4JSZZVT14,ENGINEERING DESIGN BUREAU FAKEL,37523,54.28571428571429
MISJONSKIRKEN NORGE,254900G4Y1IP9AK5ZC06,TRO NORGE,10486,35.71428571428571
STILLE AS,2549003PFZ8YPNZFE925,STILE ITALIANO S.R.L.,56369,50.0
PEOPLEHUB HOLDING AS,254900OC1ZEVWCLLHG77,O.H.G. HOLDING SAL,50520,71.42857142857143
VESTFJORDEN ENTREPRENØR AS,254900U5DYH34OJC9730,CENTRO DE ENTRENAMIENTO SEAR,46219,50.0
CENTRO DE ESTUDIOS E INVESTIGACIONES AFRO (CEIA),984500BCN396159ADA80,"CORPOMEDIOS GV INVERSIONES, C.A.",26221,61.111111111111114
MOON INVESTORS LP,9845005B65461A399A13,"M INVEST, OOO",29101,72.72727272727273
XIGINVENT MOON INVESTORS ADVISORS LLC,9845006GFF3AD9QD3E43,GHADIR INVESTMENT COMPANY,16034,60.0
SSN 9000 Bartram Road LLC,254900LMC60IC6EUOG60,MARITIME SILK ROAD LLC,28107,56.41025641025641
"PVTPI, LLC",2549005D0PUOIFKF5Y45,,,0.0
MAINSAIL SABAL PARK HOTEL OWNER LLC,254900L2CN2QYELG0477,HOTEL LAS TORRES,40797,55.319148936170215
Fiera Cash In Action Fund,894500PEAEX0OQYAUW10,JSC FAR EAST AND ARCTIC REGION DEVELOPMENT FUND,18273,62.5
"Ansell NC, LLC",254900893SSLAQT5BB31,,,0.0
NSRP I JEFFERSON MARKETPLACE OWNER LLC,2549009RWGA4D5LCK292,PRINCE SUPER MARKET CAMBODIA CO. LTD.,55849,51.61290322580645
PRIMAS ENHANCED CREDIT FEEDER FUND,254900X7P883S2WIOM58,ANSAR FINANCE AND CREDIT FUND,12478,57.6271186440678
FONDATION LOUIS-JAMES MITCHELL,2549000ZRB9IU5SD2K40,FONDATION SECOURS MONDIAL VZW,7270,54.23728813559322
"PHOENIX TOWER INTERNATIONAL INVESTMENTS, LLC",2549002P6VWB4VAKGG54,ZADNA INTERNATIONAL INVESTMENTS,46819,77.14285714285715
"CASTLE HARBOUR INSURANCE, LLC",984500580BEA88O8AB48,ASCENT GENERAL INSURANCE COMPANY,49843,62.5
AMERICAN INDUSTRIAL ACCESS IX LLC,984500C8C148ECAUS974,AMIN INDUSTRIAL COMPANY,11443,68.18181818181819
PADDY FITZGERALD MEMORIAL AWARD TRUST COMPANY LIMITED BY GUARANTEE,9845004EA654OF1A9C76,THE RABBI MEIR DAVID KAHANE MEMORIAL FUND,4700,50.57471264367817
SURGE AU BIDCO PTY LTD,9845002ED138E88ECC68,SURGUTNEFTEGAS PUBLIC JOINT STOCK COMPANY,17145,47.05882352941176
POLVERSE,2549003OIRCEDHJ98A40,,,0.0
"CRUZ TRADING, LLC",984500BFCCCDZDBAC681,ONCU TRADING L.L.C.,49682,83.33333333333334
"LFB PORTUGAL, LDA",984500D44D5WA1FLD957,LIMITED LIABILITY COMPANY PORT ELGA,49434,57.14285714285714
Cell 5,98450052D93BEAEIC062,REVOLUTIONARY CELLS,4714,31.999999999999996
บริษัท ซีพีที ไดร์ แอนด์ เพาเวอร์ จำกัด (มหาชน),254900CV8747FZ4I6V30,,,0.0
Solventis GmbH,984500E5384B54148638,SOLVENT ORGANICS FZE,54043,56.00000000000001
CONFERO PARTNERS LIMITED,984500R93FFB2DBB7987,NOVE PARTNERS OOD,31891,72.72727272727273
SUPERSHOP SOCIETA' A RESPONSABILITA' LIMITATA,8156002455A92139F361,BAJER SOCIEDAD DE RESPONSABILIDAD LIMITADA,26469,73.17073170731707
RBHQ S.R.L.,8156006581316019D303,,,0.0
ARCH. MANUEL BENEDIKTER SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,815600C682EB4F5F5117,BAJER SOCIEDAD DE RESPONSABILIDAD LIMITADA,26469,59.25925925925925
MMK INVESTMENTS S.R.L.,815600FD496F3041A178,KB INVESTMENTS LIMITED,23411,89.65517241379311
TDB HOLDING S.R.L.,815600C94D1415292B72,RB HOLDING LIMITED,42744,85.71428571428572
TUSA S.R.L.,81560073B2D8B3A22163,,,0.0
WHATTADATA S.R.L.,8156001C10F542B65651,,,0.0
G.I.T.A. GESTIONI IMPIANTI TURISTICI E ALBERGHIERI S.R.L.,815600768EBB4A311078,"AGENCIA DE SERVICIOS TURISTICOS INTERNACIONALES G8, S.A. DE C.V.",56829,50.0
GIARDINO VERDI SRL,815600A047AD6A07E652,VERDITA TRADING LIMITED,57516,68.96551724137932
GAIA EMPRISE S.R.L.,815600A63841A41C6743,EMPRESA DE ENERGIA S.A.,58206,66.66666666666667
GARC CORP-9 SPV S.R.L.,8156000DFD2D124A3055,,,0.0
INDACOO - INNOVAZIONE DI ABITANTI E COSTRUTTORI-COOPERATORI SOCIE TA' COOPERATIVA PER AZIONI,815600BD71BA8E102416,"ASSOCIATION FOR EDUCATION, CULTURAL, AND TO CREATE SOCIETY - SIRAT",8225,50.349650349650354
CLAM S.R.L.,8156005DF1AC19FC8061,CLAMASAN S.A.S.,20205,66.66666666666667
NSRP I SANTA SUSANA OWNER LLC,254900PJQDT3DX45FA17,SANTA RITA MINING COMPANY S.A.,57116,52.38095238095239
Etz K.G. Schuhe und Sport,984500650036JD75F632,HOOPOE SPORTS AGENT L.L.C.,35014,56.41025641025641
